,0,1,2,3,4,5,6,7,8,9
0,Height,Relayed By,Tx Count,Stripped Size(B),Size(B),Weight,Avg Fee Per Tx,Reward,Time,Block Version
1,438305,BitFury,641,366402,366402,1465608,0.00015270,12.5 + 0.22380157 BTC,2016/11/10 23:58,
2,438304,BW.COM,2121,759549,759549,3038196,0.00018149,12.5 + 0.55139935 BTC,2016/11/10 23:56,
3,438303,AntPool,1073,548366,548366,2193464,0.00010570,12.5 + 0.23185440 BTC,2016/11/10 23:41,
4,438302,BW.COM,2457,998169,998169,3992676,0.00017136,12.5 + 0.68419723 BTC,2016/11/10 23:38,
5,438301,F2Pool,2383,999957,999957,3999828,0.00014957,12.5 + 0.59826936 BTC,2016/11/10 23:23,
6,438300,Telco 214,242,85092,85092,340368,0.00034402,12.5 + 0.11709209 BTC,2016/11/10 23:18,
7,438299,BTCC,1860,991056,991056,3964224,0.00015782,12.5 + 0.62563817 BTC,2016/11/10 23:08,
8,438298,ViaBTC,1167,679888,679888,2719552,0.00012946,12.5 + 0.35206888 BTC,2016/11/10 22:57,
9,438297,Telco 214,1743,749146,749146,2996584,0.00017598,12.5 + 0.52734138 BTC,2016/11/10 22:51,
10,438296,F2Pool,2073,999939,999939,3999756,0.00010357,12.5 + 0.41426286 BTC,2016/11/10 22:41,
11,438295,Bixin,2847,998088,998088,3992352,0.00014957,12.5 + 0.59712677 BTC,2016/11/10 22:40,
12,438294,GBMiners,1809,749164,749164,2996656,0.00019096,12.5 + 0.57222877 BTC,2016/11/10 22:35,
13,438293,BW.COM,2627,998227,998227,3992908,0.00017674,12.5 + 0.70572461 BTC,2016/11/10 22:24,
14,438292,BW.COM,2615,998109,998109,3992436,0.00019303,12.5 + 0.77065895 BTC,2016/11/10 22:10,
15,438291,BitFury,2742,998098,998098,3992392,0.00018178,12.5 + 0.72572884 BTC,2016/11/10 21:49,
16,438290,ViaBTC,214,161468,161468,645872,0.00012834,12.5 + 0.08288936 BTC,2016/11/10 21:37,
17,438289,F2Pool,1623,856172,856172,3424688,0.00017214,12.5 + 0.58952824 BTC,2016/11/10 21:36,
18,438288,AntPool,278,998166,998166,3992664,0.00001847,12.5 + 0.07374603 BTC,2016/11/10 21:22,
19,438287,ViaBTC,1006,556219,556219,2224876,0.00015937,12.5 + 0.35457055 BTC,2016/11/10 21:20,
20,438286,BitClub,655,998205,998205,3992820,0.00005633,12.5 + 0.22490803 BTC,2016/11/10 21:13,
21,438285,BitFury,820,537871,537871,2151484,0.00011747,12.5 + 0.25272542 BTC,2016/11/10 21:08,
22,438284,F2Pool,1850,999681,999681,3998724,0.00017384,12.5 + 0.69513964 BTC,2016/11/10 21:02,
23,438283,F2Pool,1721,999562,999562,3998248,0.00010729,12.5 + 0.42898456 BTC,2016/11/10 20:48,
24,438282,F2Pool,1134,999987,999987,3999948,0.00011721,12.5 + 0.46884137 BTC,2016/11/10 20:42,
25,438281,AntPool,2240,998120,998120,3992480,0.00019196,12.5 + 0.76638417 BTC,2016/11/10 20:41,
26,438280,AntPool,2142,998178,998178,3992712,0.00014319,12.5 + 0.57170657 BTC,2016/11/10 20:21,
27,438279,BW.COM,2439,998210,998210,3992840,0.00017389,12.5 + 0.69431054 BTC,2016/11/10 20:15,
28,438278,BTCC,2462,998116,998116,3992464,0.00015407,12.5 + 0.61511127 BTC,2016/11/10 20:01,
29,438277,ViaBTC,2809,999254,999254,3997016,0.00021372,12.5 + 0.85424788 BTC,2016/11/10 19:58,
30,438276,Telco 214,512,292448,292448,1169792,0.00017840,12.5 + 0.20869380 BTC,2016/11/10 19:29,
