"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"13/03/31:16","13","03","31","16",94.8795693939394,345.58388931,32788.8506072156
"13/03/31:17","13","03","31","17",93.3911163636364,45.24333505,4225.32556833354
"13/03/31:18","13","03","31","18",93.4916156410256,466.31142,43596.2080476609
"13/03/31:19","13","03","31","19",92.7500016666667,96.31618,8933.32585552697
"13/03/31:20","13","03","31","20",93.15502,5,465.7751
"13/03/31:21","13","03","31","21",93.7696657142857,22.09,2071.37191562857
"13/03/31:22","13","03","31","22",94.0684425,84,7901.74917
"13/04/01:00","13","04","01","00",93.662505,3.80737067,356.607874415728
"13/04/01:01","13","04","01","01",94.229995,1.97,185.63309015
"13/04/01:02","13","04","01","02",94.645256,228.55045455,21631.2162798011
"13/04/01:03","13","04","01","03",95.424439,250.10163818,23865.8085163075
"13/04/01:04","13","04","01","04",97.6601902631579,218.81651926,21369.6629036536
"13/04/01:05","13","04","01","05",98.6884190909091,83,8191.13878454545
"13/04/01:06","13","04","01","06",102.110410933333,650.91447813,66465.1448443105
"13/04/01:07","13","04","01","07",100.642900792683,1478.6414561,148814.765374221
"13/04/01:08","13","04","01","08",103.502653802817,563.21388161,58294.1314052205
"13/04/01:09","13","04","01","09",102.622028888889,43.10582608,4423.60732926118
"13/04/01:10","13","04","01","10",102.499985,8,819.99988
"13/04/01:11","13","04","01","11",103.071908125,227.0862,23406.2079428554
"13/04/01:13","13","04","01","13",103.7353753125,174.33776224,18084.9931971078
"13/04/01:14","13","04","01","14",105.125,48.21036503,5068.11462377875
"13/04/01:15","13","04","01","15",103.212814782609,180.10053676,18588.6833428583
"13/04/01:16","13","04","01","16",103.59343125,40.31870451,4176.75294374575
"13/04/01:17","13","04","01","17",102.812129,45.76133407,4704.82018161694
"13/04/01:18","13","04","01","18",103.832246666667,47.88604435,4972.11556884014
"13/04/01:19","13","04","01","19",105.023565263158,88.3632,9280.21830206147
"13/04/01:20","13","04","01","20",105.4462512,173.99816862,18347.4545966445
"13/04/01:21","13","04","01","21",101.271897733333,1329.83846356,134675.264883501
"13/04/01:22","13","04","01","22",101.640417,70,7114.82919
"13/04/01:23","13","04","01","23",102.45139,70.88327519,7262.09007096802
"13/04/02:00","13","04","02","00",104.02214125,189.30177901,19691.5763950545
"13/04/02:01","13","04","02","01",104.368455178571,613.27779138,64006.8556816568
"13/04/02:02","13","04","02","02",106.554191810345,1132.01454287,120620.89473307
"13/04/02:03","13","04","02","03",105.700694761905,224.77413528,23758.7822636024
"13/04/02:04","13","04","02","04",107.350741071429,94.06010885,10097.4223903067
"13/04/02:05","13","04","02","05",107.622644117647,179.26831426,19293.3299871745
