"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"11/09/13:07","11","09","13","07",5.8825,25,147.0625
"11/09/13:08","11","09","13","08",5.8675,22.35398238,131.16199161465
"11/09/13:09","11","09","13","09",5.65,2.542,14.3623
"11/09/13:13","11","09","13","13",5.94666666666667,8.4754,50.4003786666667
"11/09/14:01","11","09","14","01",5.58,16.42569962,91.6554038796
"11/09/14:02","11","09","14","02",5.56,12.347499,68.65209444
"11/09/14:03","11","09","14","03",5.59,4.890346,27.33703414
"11/09/14:04","11","09","14","04",5.65,5.445139,30.76503535
"11/09/14:05","11","09","14","05",5.61666666666667,20,112.333333333333
"11/09/14:09","11","09","14","09",5.525,2.0373,11.2560825
"11/09/15:02","11","09","15","02",5.12,11.9627,61.249024
"11/09/15:03","11","09","15","03",5.02,14.1254822,70.909920644
"11/09/15:04","11","09","15","04",5,24.458401,122.292005
"11/09/15:08","11","09","15","08",5.225,24.155562,126.21281145
"11/09/15:09","11","09","15","09",5.13,5.43865,27.9002745
"11/09/16:01","11","09","16","01",4.82,9.885546,47.64833172
"11/09/16:04","11","09","16","04",4.8,0.3,1.44
"11/09/16:08","11","09","16","08",4.87,24.589,119.74843
"11/09/16:10","11","09","16","10",4.85,5.1394608,24.92638488
"11/09/17:09","11","09","17","09",4.87,0.3,1.461
"11/09/18:04","11","09","18","04",4.845,19.33213362,93.6641873889
"11/09/18:07","11","09","18","07",4.81,30.2214,145.364934
"11/09/18:10","11","09","18","10",4.85,25.884562,125.5401257
"11/09/18:11","11","09","18","11",4.815,19.49470438,93.8670015897
"11/09/18:13","11","09","18","13",4.82,5,24.1
"11/09/18:14","11","09","18","14",4.92,19.88,97.8096
"11/09/19:07","11","09","19","07",4.9,20,98
"11/09/20:00","11","09","20","00",4.92,15.666688,77.08010496
"11/09/20:02","11","09","20","02",5.28,8.5466,45.126048
"11/09/20:03","11","09","20","03",5.54,39.5014377,218.837964858
"11/09/20:06","11","09","20","06",5.425,11.43399485,62.02942206125
"11/09/20:09","11","09","20","09",5.56,0.1574432,0.875384192
"11/09/20:10","11","09","20","10",5.615,13.97454693,78.46708101195
"11/09/21:00","11","09","21","00",5.7,11.88932238,67.769137566
"11/09/21:07","11","09","21","07",5.79,0.44,2.5476
"11/09/21:10","11","09","21","10",5.71333333333333,5.3,30.2806666666667
"11/09/22:00","11","09","22","00",5.68,21.88932238,124.3313511184
"11/09/22:04","11","09","22","04",5.69,4.7251,26.885819
"11/09/22:07","11","09","22","07",5.72,17.164,98.17808
"11/09/23:03","11","09","23","03",5.71,20.68003681,118.0830101851
"11/09/24:03","11","09","24","03",5.712,20.269688,115.780457856
"11/09/24:05","11","09","24","05",5.74,21.47845,123.286303
"11/09/24:08","11","09","24","08",5.754,18.66692833,107.40950561082
"11/09/24:10","11","09","24","10",5.68666666666667,30.172,171.578106666667
"11/09/25:06","11","09","25","06",6.05,0.43,2.6015
"11/09/25:14","11","09","25","14",6.05,11.79,71.3295
"11/09/26:01","11","09","26","01",6.06,18.123844,109.83049464
"11/09/26:05","11","09","26","05",6.05,2.98,18.029
"11/09/26:10","11","09","26","10",5.722,18.47461934,105.71177186348
"11/09/27:05","11","09","27","05",4.875,24.3545,118.7281875
"11/09/28:00","11","09","28","00",4.9025,27.572,135.17173
"11/09/28:04","11","09","28","04",4.85888888888889,30.9568888,150.416083024889
"11/09/28:07","11","09","28","07",4.82,24.524437,118.20778634
"11/09/29:00","11","09","29","00",4.81666666666667,23.8855,115.048491666667
"11/09/29:05","11","09","29","05",4.81666666666667,23.079,111.16385
"11/10/03:00","11","10","03","00",4.84833333333333,30.57595,148.242397583333
"11/10/04:01","11","10","04","01",4.85090909090909,41.7923,202.730648
"11/10/04:02","11","10","04","02",4.82,5.55,26.751
"11/10/04:03","11","10","04","03",5.3,10,53
"11/10/04:05","11","10","04","05",4.862,17.67,85.91154
"11/10/04:06","11","10","04","06",4.89,32.92,160.9788
"11/10/04:09","11","10","04","09",4.9425,34.58932238,170.95772586315
"11/10/05:05","11","10","05","05",5.48428571428571,53.72,294.615828571429
"11/10/05:11","11","10","05","11",4.91625,60,294.975
"11/10/06:03","11","10","06","03",4.904,67.756,332.275424
"11/10/06:05","11","10","06","05",4.9,4.437,21.7413
"11/10/06:07","11","10","06","07",4.94,5.43,26.8242
"11/10/06:11","11","10","06","11",4.99,12.810501,63.92439999
"11/10/06:13","11","10","06","13",4.96,57.6,285.696
