"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"14/11/30:22","14","11","30","22",300,0.02,6
"14/11/30:23","14","11","30","23",370,0.03655554,13.5255498
"14/12/01:22","14","12","01","22",377,0.01,3.77
"14/12/02:03","14","12","02","03",377.875,4,1511.5
"14/12/02:04","14","12","02","04",378,10.1,3817.8
"14/12/02:11","14","12","02","11",378,0.8936,337.7808
"14/12/02:13","14","12","02","13",378,0.01,3.78
"14/12/02:22","14","12","02","22",377.95,0.0760842,28.75602339
"14/12/02:23","14","12","02","23",378,0.01052422,3.97815516
"14/12/03:11","14","12","03","11",378,0.35,132.3
"14/12/03:13","14","12","03","13",377.01,0.1,37.701
"14/12/03:15","14","12","03","15",378,0.01,3.78
"14/12/03:18","14","12","03","18",377.1,0.01,3.771
"14/12/05:18","14","12","05","18",378,0.015,5.67
"14/12/08:15","14","12","08","15",375.005,0.235,88.126175
"14/12/09:19","14","12","09","19",379.25,0.02,7.585
"14/12/11:20","14","12","11","20",362.898,3.15,1143.1287
"14/12/18:13","14","12","18","13",342.5,2,685
"15/01/07:18","15","01","07","18",315.673797468354,0.79,249.3823
"15/01/07:19","15","01","07","19",308.396369863014,1.46,450.2587
"15/01/07:20","15","01","07","20",296.92652173913,1.46,433.51272173913
"15/01/07:21","15","01","07","21",292.045354330709,1.27,370.8976
"15/01/07:22","15","01","07","22",287.567986111111,1.44,414.0979
"15/01/07:23","15","01","07","23",291.197482014388,1.39,404.7645
"15/01/08:00","15","01","08","00",287.696402877698,1.39,399.898
"15/01/08:01","15","01","08","01",288.12164556962,0.79,227.6161
"15/01/08:13","15","01","08","13",290.224722222222,0.36,104.4809
"15/01/12:20","15","01","12","20",260,1,260
"15/01/13:17","15","01","13","17",200,0.01,2
"15/01/13:20","15","01","13","20",220.315,0.02,4.4063
"15/01/13:23","15","01","13","23",218.784,0.04463778,9.76603205952
"15/01/14:00","15","01","14","00",201.6,0.05,10.08
"15/01/14:01","15","01","14","01",151.497222222222,0.18,27.2695
"15/01/14:02","15","01","14","02",157.100689655172,1.16,182.2368
"15/01/14:03","15","01","14","03",150.473428571429,1.4,210.6628
"15/01/14:04","15","01","14","04",151.236642335766,1.37,207.1942
"15/01/14:05","15","01","14","05",154.299027777778,1.44,222.1906
"15/01/14:06","15","01","14","06",156.542898550725,1.38,216.0292
"15/01/14:07","15","01","14","07",153.756470588235,1.36,209.1088
"15/01/14:08","15","01","14","08",151.027412587413,1.43,215.9692
"15/01/14:09","15","01","14","09",164.653644067797,1.18,194.2913
"15/01/14:11","15","01","14","11",186,0.0153622,2.8573692
"15/01/14:12","15","01","14","12",167.428571428571,0.2646378,44.3079288
"15/01/14:18","15","01","14","18",191.996666666667,1.13000002,216.956237173267
"15/01/14:21","15","01","14","21",150,0.0722,10.83
"15/01/15:13","15","01","15","13",206,0.16512074,34.01487244
"15/01/15:15","15","01","15","15",206.511851851852,0.81,167.2746
"15/01/15:16","15","01","15","16",207.961125,0.8,166.3689
"15/01/15:17","15","01","15","17",207.897328244275,1.31,272.3455
"15/01/15:18","15","01","15","18",207.6385,0.81,168.187185
"15/01/15:19","15","01","15","19",213.125,0.06,12.7875
"15/01/15:20","15","01","15","20",197,0.02,3.94
"15/01/16:14","15","01","16","14",203.165148514851,1.01,205.1968
"15/01/16:15","15","01","16","15",203.032279411765,1.36,276.1239
"15/01/16:16","15","01","16","16",203.995,0.12,24.4794
"15/01/16:18","15","01","16","18",210,0.023,4.83
"15/01/17:10","15","01","17","10",200,0.03,6
"15/01/17:11","15","01","17","11",190,0.059,11.21
"15/01/18:17","15","01","18","17",210,0.4,84
"15/01/18:20","15","01","18","20",225.51,0.01,2.2551
"15/01/20:11","15","01","20","11",215,0.01,2.15
"15/01/20:12","15","01","20","12",208,0.01,2.08
"15/01/20:16","15","01","20","16",217.5,0.02,4.35
"15/01/20:17","15","01","20","17",221.5,0.035,7.7525
"15/01/21:16","15","01","21","16",223.171,0.10270722,22.92127299462
"15/01/21:18","15","01","21","18",226.422558139535,1.29,292.0851
"15/01/21:19","15","01","21","19",227.873644859813,3.04,692.735880373832
"15/01/21:23","15","01","21","23",227.86,0.03,6.8358
"15/01/23:10","15","01","23","10",230,0.06,13.8
"15/01/23:11","15","01","23","11",215,0.020001,4.300215
"15/01/23:13","15","01","23","13",233.5,0.1,23.35
"15/01/23:17","15","01","23","17",215.5,0.02,4.31
"15/01/24:10","15","01","24","10",237.5,0.2,47.5
"15/01/24:11","15","01","24","11",241,0.01,2.41
"15/01/24:13","15","01","24","13",250.58,0.5,125.29
"15/01/24:15","15","01","24","15",249.230769230769,1.01,251.723076923077
"15/01/24:18","15","01","24","18",248.6,3,745.8
"15/01/24:19","15","01","24","19",254.304,3.52744094,897.04234080576
"15/01/24:21","15","01","24","21",251.325,0.11,27.64575
"15/01/24:23","15","01","24","23",250.525,1,250.525
"15/01/25:01","15","01","25","01",250.29,1,250.29
"15/01/25:02","15","01","25","02",248.183333333333,4.72,1171.42533333333
"15/01/25:03","15","01","25","03",247.08,1.9082,471.478056
"15/01/25:04","15","01","25","04",245.991276595745,24.1478,5940.14814897872
"15/01/25:07","15","01","25","07",248.241785714286,25.5961,6354.02157132143
"15/01/25:08","15","01","25","08",247.5945,116.26,28785.33657
"15/01/25:09","15","01","25","09",247.763055555556,43.7209,10832.4237756389
"15/01/25:10","15","01","25","10",248.47,3.5268,876.303996
"15/01/25:11","15","01","25","11",247.961,6.2152,1541.1272072
"15/01/25:12","15","01","25","12",248.794545454545,2.16,537.396218181818
"15/01/25:14","15","01","25","14",251.497313432836,42.2493,10625.5854444179
"15/01/25:15","15","01","25","15",254.377919463087,199.6138,50777.3431401208
"15/01/25:17","15","01","25","17",261.868,1.418552,371.473375136
"15/01/25:18","15","01","25","18",271.89168,463.70136,126076.541788685
"15/01/25:19","15","01","25","19",271.1175,1.49,403.965075
"15/01/25:20","15","01","25","20",285.433076923077,3.4125,974.040375
"15/01/25:21","15","01","25","21",279.325263157895,13.5,3770.89105263158
"15/01/26:00","15","01","26","00",289.070917647059,587.4978,169828.528161628
"15/01/26:01","15","01","26","01",299.833333333333,0.53,158.911666666667
"15/01/26:02","15","01","26","02",300.4,0.02,6.008
"15/01/26:03","15","01","26","03",303.421186440678,45.296,13743.7660610169
"15/01/26:04","15","01","26","04",301.222777777778,30,9036.68333333333
"15/01/26:05","15","01","26","05",304.340425531915,47.9655,14597.8406808511
"15/01/26:06","15","01","26","06",299.574248366013,199.9025,59885.6411839869
"15/01/26:07","15","01","26","07",283.314021592443,2772.26556652,785421.706573033
"15/01/26:08","15","01","26","08",273.616633165829,128.18598752,35073.8183242594
"15/01/26:09","15","01","26","09",272.641978021978,75.30545,20531.4268438352
"15/01/26:10","15","01","26","10",273.574554455446,57.467378,15721.6123320727
"15/01/26:11","15","01","26","11",267.167210300429,182.12474367,48657.7596929946
"15/01/26:12","15","01","26","12",264.445948275862,83.6085885,22109.9524698888
"15/01/26:13","15","01","26","13",268.240909090909,112.14592556,30082.1250230558
"15/01/26:14","15","01","26","14",268.88272,67.4853929,18145.6560032207
"15/01/26:15","15","01","26","15",273.735342465753,230.032807,62968.1092025036
"15/01/26:16","15","01","26","16",272.301904761905,76.96274237,20957.1013430508
"15/01/26:17","15","01","26","17",271.576741573034,324.70554475,88182.4738139019
"15/01/26:18","15","01","26","18",260.178598484848,162.67667192,42324.9885063251
"15/01/26:19","15","01","26","19",261.120347826087,44.16291476,11531.835663145
"15/01/26:20","15","01","26","20",256.883566433566,52.376897,13454.7641000836
"15/01/26:21","15","01","26","21",259.237933333333,79.10562183,20507.1779182574
"15/01/26:22","15","01","26","22",260.255308641975,43.49254719,11319.1662925591
"15/01/26:23","15","01","26","23",259.228539325843,38.48328417,9975.96554385042
"15/01/27:00","15","01","27","00",259.595757575758,41.29719643,10720.5769930007
"15/01/27:01","15","01","27","01",259.140689655172,5.97817,1549.18709667586
"15/01/27:02","15","01","27","02",258.973173076923,20.54288414,5320.0558898874
"15/01/27:03","15","01","27","03",250.906637168142,112.03220751,28109.6244408575
"15/01/27:04","15","01","27","04",250.367738095238,39.49337396,9887.86670811458
"15/01/27:05","15","01","27","05",257.5,1,257.5
"15/01/27:06","15","01","27","06",263.169892473118,25.3793956,6679.09281108473
"15/01/27:07","15","01","27","07",263.712470588235,26.789344,7064.68409167812
"15/01/27:08","15","01","27","08",261.461363636364,11.075424,2895.79546189091
"15/01/27:09","15","01","27","09",261.651224489796,41.848688,10949.7604584914
"15/01/27:10","15","01","27","10",264.475037037037,160.84534189,42539.5777535926
"15/01/27:11","15","01","27","11",265.180657894737,14.72255829,3904.13769323581
"15/01/27:12","15","01","27","12",263.857699115044,52.55825618,13867.9005451539
"15/01/27:13","15","01","27","13",264.389194630873,119.48119567,31589.537096725
"15/01/27:14","15","01","27","14",260.508159509202,111.72277344,29104.694084118
"15/01/27:15","15","01","27","15",262.225540540541,74.18196163,19452.4049867844
"15/01/27:16","15","01","27","16",263.039642857143,26.25951317,6907.29296583924
"15/01/27:17","15","01","27","17",264.983917525773,93.82414244,24861.8888222474
"15/01/27:18","15","01","27","18",264.904559585492,55.49249805,14700.215756234
