"Height","Relayed.By","Tx.Count","Stripped.Size.B.","Size.B.","Weight","Avg.Fee.Per.Tx","Reward","Time","Block.Version","coinsMined","transactionFee","Year","month","day","hour","minute","difficulty","average_time_seconds","average_hashrate","bitstampPrice","bitstampVolBTC","bitstampVolUSD","coinbasePrice","coinbaseVolBTC","coinbaseVolUSD","bitfinexPrice","bitfinexVolBTC","bitfinexVolUTC","bitfinexVolUSD"
501961,"ViaBTC",2533,978342,1058225,3993251,0.00118968,"12.5 + 4.75069391 BTC","2018/01/01 00:08","","12.5 ",4.75069391,"2018","01","01","00","08",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501962,"unknown",2420,975364,1066956,3993048,0.00096782,"12.5 + 3.86453524 BTC","2018/01/01 00:25","","12.5 ",3.86453524,"2018","01","01","00","25",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501963,"AntPool",2014,986471,1033629,3993042,0.00034,"12.5 + 1.35761522 BTC","2018/01/01 00:29","","12.5 ",1.35761522,"2018","01","01","00","29",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501964,"AntPool",1189,983598,1041595,3992389,0.00051669,"12.5 + 2.06283332 BTC","2018/01/01 00:33","","12.5 ",2.06283332,"2018","01","01","00","33",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501965,"SlushPool",2004,986912,1032120,3992856,0.00065879,"12.5 + 2.63044095 BTC","2018/01/01 00:41","","12.5 ",2.63044095,"2018","01","01","00","41",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501966,"F2Pool",788,868221,1393545,3998208,0.00029479,"12.5 + 1.17864387 BTC","2018/01/01 00:44","","12.5 ",1.17864387,"2018","01","01","00","44",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501967,"BTC.com",1452,923934,1221060,3992862,0.00043658,"12.5 + 1.74321692 BTC","2018/01/01 00:47","","12.5 ",1.74321692,"2018","01","01","00","47",1.93114e+12,582,1.38189e+19,13834.0161538462,135.79952593,1878652.83540027,13739.5868652561,444.90614719,6112826.65620343,0,0,0,0
501968,"ViaBTC",1939,985698,1035988,3993082,0.00102356,"12.5 + 4.08714195 BTC","2018/01/01 01:02","","12.5 ",4.08714195,"2018","01","01","01","02",1.93114e+12,582,1.38189e+19,13596.435011236,138.61517504,1884672.21900246,13557.2991320072,412.82997557,5596859.46946173,0,0,0,0
501969,"BitClub",2529,973951,1071174,3993027,0.00112682,"12.5 + 4.49943300 BTC","2018/01/01 01:20","NYA","12.5 ",4.499433,"2018","01","01","01","20",1.93114e+12,582,1.38189e+19,13596.435011236,138.61517504,1884672.21900246,13557.2991320072,412.82997557,5596859.46946173,0,0,0,0
501970,"SlushPool",1033,997945,999297,3993132,0.00015563,"12.5 + 0.62146018 BTC","2018/01/01 01:21","","12.5 ",0.62146018,"2018","01","01","01","21",1.93114e+12,582,1.38189e+19,13596.435011236,138.61517504,1884672.21900246,13557.2991320072,412.82997557,5596859.46946173,0,0,0,0
501971,"F2Pool",2739,984581,1044488,3998231,0.00142339,"12.5 + 5.69103967 BTC","2018/01/01 01:44","","12.5 ",5.69103967,"2018","01","01","01","44",1.93114e+12,582,1.38189e+19,13596.435011236,138.61517504,1884672.21900246,13557.2991320072,412.82997557,5596859.46946173,0,0,0,0
501972,"BTC.TOP",1703,911592,1257962,3992738,0.00068386,"12.5 + 2.73046566 BTC","2018/01/01 01:55","","12.5 ",2.73046566,"2018","01","01","01","55",1.93114e+12,582,1.38189e+19,13596.435011236,138.61517504,1884672.21900246,13557.2991320072,412.82997557,5596859.46946173,0,0,0,0
501973,"BTC.TOP",813,836353,1484305,3993364,0.00027379,"12.5 + 1.09336305 BTC","2018/01/01 01:56","","12.5 ",1.09336305,"2018","01","01","01","56",1.93114e+12,582,1.38189e+19,13596.435011236,138.61517504,1884672.21900246,13557.2991320072,412.82997557,5596859.46946173,0,0,0,0
501974,"AntPool",2118,985667,1036036,3993037,0.00100866,"12.5 + 4.02760789 BTC","2018/01/01 02:10","","12.5 ",4.02760789,"2018","01","01","02","10",1.93114e+12,582,1.38189e+19,13573.420989011,111.38916195,1511931.98876047,13550.0146457327,137.17103437,1858669.5246838,0,0,0,0
501975,"F2Pool",1050,996925,1007588,3998363,0.00017623,"12.5 + 0.70462819 BTC","2018/01/01 02:11","","12.5 ",0.70462819,"2018","01","01","02","11",1.93114e+12,582,1.38189e+19,13573.420989011,111.38916195,1511931.98876047,13550.0146457327,137.17103437,1858669.5246838,0,0,0,0
501976,"AntPool",2371,978600,1056895,3992695,0.00121305,"12.5 + 4.84332387 BTC","2018/01/01 02:29","","12.5 ",4.84332387,"2018","01","01","02","29",1.93114e+12,582,1.38189e+19,13573.420989011,111.38916195,1511931.98876047,13550.0146457327,137.17103437,1858669.5246838,0,0,0,0
501977,"AntPool",2029,980312,1051809,3992745,0.00089711,"12.5 + 3.58191627 BTC","2018/01/01 02:43","","12.5 ",3.58191627,"2018","01","01","02","43",1.93114e+12,582,1.38189e+19,13573.420989011,111.38916195,1511931.98876047,13550.0146457327,137.17103437,1858669.5246838,0,0,0,0
501978,"BitClub",1529,990372,1021842,3992958,0.00040098,"12.5 + 1.60108125 BTC","2018/01/01 02:48","NYA","12.5 ",1.60108125,"2018","01","01","02","48",1.93114e+12,582,1.38189e+19,13573.420989011,111.38916195,1511931.98876047,13550.0146457327,137.17103437,1858669.5246838,0,0,0,0
501980,"BTC.TOP",1148,992353,1016038,3993097,0.00015285,"12.5 + 0.61033874 BTC","2018/01/01 03:02","","12.5 ",0.61033874,"2018","01","01","03","02",1.93114e+12,582,1.38189e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501979,"BTCC",2103,985467,1036779,3993180,0.00091634,"12.5 + 3.65912264 BTC","2018/01/01 03:02","","12.5 ",3.65912264,"2018","01","01","03","02",1.93114e+12,582,1.38189e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501981,"BW.COM",1734,998265,998301,3993096,0.00067053,"12.5 + 2.67749587 BTC","2018/01/01 03:11","NYA","12.5 ",2.67749587,"2018","01","01","03","11",1.93114e+12,582,1.38189e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501982,"unknown",1447,869662,1384058,3993044,0.00071581,"12.5 + 2.85825519 BTC","2018/01/01 03:20","","12.5 ",2.85825519,"2018","01","01","03","20",1.93114e+12,582,1.38189e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501983,"AntPool",2798,986595,1033179,3992964,0.0013758,"12.5 + 5.49351195 BTC","2018/01/01 03:49","","12.5 ",5.49351195,"2018","01","01","03","49",1.93114e+12,582,1.38189e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501984,"ViaBTC",798,993069,1013536,3992743,0.0009211,"12.5 + 3.67771979 BTC","2018/01/01 03:56","","12.5 ",3.67771979,"2018","01","01","03","56",2.22785e+12,520,1.59463e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501985,"BTC.TOP",600,975162,1067557,3993043,0.00060027,"12.5 + 2.39691773 BTC","2018/01/01 03:57","","12.5 ",2.39691773,"2018","01","01","03","57",2.22785e+12,520,1.59463e+19,13550.7960399334,135.66958322,1838430.851037,13542.7662551629,116.9053557,1583221.90622178,0,0,0,0
501986,"AntPool",744,992290,1016305,3993175,0.00082754,"12.5 + 3.30451603 BTC","2018/01/01 04:03","","12.5 ",3.30451603,"2018","01","01","04","03",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501987,"BTCC",345,995795,1005471,3992856,0.00046613,"12.5 + 1.86119742 BTC","2018/01/01 04:05","","12.5 ",1.86119742,"2018","01","01","04","05",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501988,"BTC.com",657,994075,1010776,3993001,0.00071529,"12.5 + 2.85615659 BTC","2018/01/01 04:10","","12.5 ",2.85615659,"2018","01","01","04","10",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501990,"BTC.com",1,241,241,964,0,"12.5 + 0.00000000 BTC","2018/01/01 04:29","","12.5 ",0,"2018","01","01","04","29",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501989,"SlushPool",2275,980657,1051144,3993115,0.00114898,"12.5 + 4.58800794 BTC","2018/01/01 04:29","","12.5 ",4.58800794,"2018","01","01","04","29",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501991,"BTC.TOP",2632,970151,1082644,3993097,0.00123801,"12.5 + 4.94349545 BTC","2018/01/01 04:51","","12.5 ",4.94349545,"2018","01","01","04","51",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501993,"BTC.TOP",169,996865,1002386,3992981,0.00034704,"12.5 + 1.38573541 BTC","2018/01/01 04:57","","12.5 ",1.38573541,"2018","01","01","04","57",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501992,"BTC.com",676,987861,1029457,3993040,0.00055927,"12.5 + 2.23319052 BTC","2018/01/01 04:57","","12.5 ",2.23319052,"2018","01","01","04","57",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501994,"AntPool",150,996861,1002101,3992684,0.00032097,"12.5 + 1.28151958 BTC","2018/01/01 04:59","","12.5 ",1.28151958,"2018","01","01","04","59",2.22785e+12,520,1.59463e+19,13265.2891594203,527.36824266,6995692.23238023,13291.2761435251,430.90515166,5727279.36238063,0,0,0,0
501995,"SlushPool",1205,981083,1049893,3993142,0.00084537,"12.5 + 3.37568569 BTC","2018/01/01 05:09","","12.5 ",3.37568569,"2018","01","01","05","09",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
501996,"BitFury",324,991813,1017520,3992959,0.00036692,"12.5 + 1.46507997 BTC","2018/01/01 05:11","","12.5 ",1.46507997,"2018","01","01","05","11",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
501997,"BTC.com",1548,983841,1041632,3993155,0.00081495,"12.5 + 3.25423893 BTC","2018/01/01 05:24","","12.5 ",3.25423893,"2018","01","01","05","24",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
501998,"BTC.com",154,997145,1001318,3992753,0.00031921,"12.5 + 1.27453769 BTC","2018/01/01 05:26","","12.5 ",1.27453769,"2018","01","01","05","26",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
501999,"SlushPool",191,997101,1001679,3992982,0.00042724,"12.5 + 1.70596924 BTC","2018/01/01 05:27","","12.5 ",1.70596924,"2018","01","01","05","27",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
502000,"BitFury",2003,974210,1070279,3992909,0.00093699,"12.5 + 3.74129790 BTC","2018/01/01 05:45","","12.5 ",3.7412979,"2018","01","01","05","45",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
502001,"SlushPool",1068,988321,1027979,3992942,0.00057295,"12.5 + 2.28774934 BTC","2018/01/01 05:53","","12.5 ",2.28774934,"2018","01","01","05","53",2.22785e+12,520,1.59463e+19,13324.0879287305,423.81949241,5647008.18278077,13282.1458324064,239.78661107,3184880.73689025,0,0,0,0
502002,"BTC.com",1096,989776,1023834,3993162,0.00063449,"12.5 + 2.53362693 BTC","2018/01/01 06:01","","12.5 ",2.53362693,"2018","01","01","06","01",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502003,"AntPool",744,992771,1014197,3992510,0.00058554,"12.5 + 2.33777707 BTC","2018/01/01 06:08","","12.5 ",2.33777707,"2018","01","01","06","08",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502005,"BTC.TOP",112,997887,999422,3993083,0.00027529,"12.5 + 1.09925935 BTC","2018/01/01 06:12","","12.5 ",1.09925935,"2018","01","01","06","12",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502004,"BTC.TOP",563,989836,1023213,3992721,0.00038631,"12.5 + 1.54242745 BTC","2018/01/01 06:12","","12.5 ",1.54242745,"2018","01","01","06","12",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502006,"AntPool",778,919544,1234172,3992804,0.00037983,"12.5 + 1.51658298 BTC","2018/01/01 06:16","","12.5 ",1.51658298,"2018","01","01","06","16",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502007,"SlushPool",730,840610,1471147,3992977,0.00034211,"12.5 + 1.36602159 BTC","2018/01/01 06:19","","12.5 ",1.36602159,"2018","01","01","06","19",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502008,"AntPool",1049,990354,1022129,3993191,0.00072676,"12.5 + 2.90210550 BTC","2018/01/01 06:25","","12.5 ",2.9021055,"2018","01","01","06","25",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502009,"AntPool",1231,994459,1009749,3993126,0.00016401,"12.5 + 0.65490514 BTC","2018/01/01 06:26","","12.5 ",0.65490514,"2018","01","01","06","26",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502010,"BTCC",2007,981647,1048294,3993235,0.0010228,"12.5 + 4.08428347 BTC","2018/01/01 06:47","","12.5 ",4.08428347,"2018","01","01","06","47",2.22785e+12,520,1.59463e+19,13129.9990297122,660.1900261,8668294.40211865,13140.0270556622,527.708117,6934098.93487255,0,0,0,0
502011,"F2Pool",2516,988009,1034277,3998304,0.00119986,"12.5 + 4.79740231 BTC","2018/01/01 07:22","","12.5 ",4.79740231,"2018","01","01","07","22",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502012,"AntPool",1329,964535,1099042,3992647,0.00054247,"12.5 + 2.16587855 BTC","2018/01/01 07:23","","12.5 ",2.16587855,"2018","01","01","07","23",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502013,"BTC.TOP",1818,983459,1042418,3992795,0.00107119,"12.5 + 4.27706060 BTC","2018/01/01 07:40","","12.5 ",4.2770606,"2018","01","01","07","40",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502014,"BitClub",1071,979011,1055672,3992705,0.00053224,"12.5 + 2.12508182 BTC","2018/01/01 07:45","NYA","12.5 ",2.12508182,"2018","01","01","07","45",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502015,"AntPool",886,975618,1066285,3993139,0.00041629,"12.5 + 1.66231553 BTC","2018/01/01 07:51","","12.5 ",1.66231553,"2018","01","01","07","51",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502016,"ViaBTC",799,977915,1059396,3993141,0.00037594,"12.5 + 1.50116349 BTC","2018/01/01 07:56","","12.5 ",1.50116349,"2018","01","01","07","56",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502017,"AntPool",1135,957092,1121460,3992736,0.00028179,"12.5 + 1.12510272 BTC","2018/01/01 07:57","","12.5 ",1.12510272,"2018","01","01","07","57",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502018,"ViaBTC",803,970428,1081941,3993225,0.00023589,"12.5 + 0.94197210 BTC","2018/01/01 07:59","","12.5 ",0.9419721,"2018","01","01","07","59",2.22785e+12,520,1.59463e+19,12973.9746658639,713.11213982,9251898.8359447,13045.454951662,803.59866545,10483310.1893437,0,0,0,0
502019,"AntPool",2693,984872,1038592,3993208,0.00155032,"12.5 + 6.19076585 BTC","2018/01/01 08:44","","12.5 ",6.19076585,"2018","01","01","08","44",2.22785e+12,520,1.59463e+19,13274.7313656148,405.51517514,5383105.01466374,13289.7844685849,522.08593691,6938409.57561309,0,0,0,0
502020,"BTC.TOP",1639,954987,1127981,3992942,0.00068435,"12.5 + 2.73255978 BTC","2018/01/01 08:48","","12.5 ",2.73255978,"2018","01","01","08","48",2.22785e+12,520,1.59463e+19,13274.7313656148,405.51517514,5383105.01466374,13289.7844685849,522.08593691,6938409.57561309,0,0,0,0
502021,"AntPool",2597,975572,1066372,3993088,0.00120227,"12.5 + 4.80075414 BTC","2018/01/01 09:19","","12.5 ",4.80075414,"2018","01","01","09","19",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502023,"ViaBTC",731,958734,1116674,3992876,0.00033384,"12.5 + 1.33299148 BTC","2018/01/01 09:50","","12.5 ",1.33299148,"2018","01","01","09","50",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502022,"BTC.TOP",2693,977059,1061983,3993160,0.00132576,"12.5 + 5.29397130 BTC","2018/01/01 09:50","","12.5 ",5.2939713,"2018","01","01","09","50",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502024,"BTC.com",885,985622,1035910,3992776,0.00037425,"12.5 + 1.49430998 BTC","2018/01/01 09:53","","12.5 ",1.49430998,"2018","01","01","09","53",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502025,"AntPool",1091,956721,1122714,3992877,0.00030181,"12.5 + 1.20510721 BTC","2018/01/01 09:54","","12.5 ",1.20510721,"2018","01","01","09","54",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502027,"BTC.TOP",2076,995132,1007593,3992989,0.00017931,"12.5 + 0.71598969 BTC","2018/01/01 09:56","","12.5 ",0.71598969,"2018","01","01","09","56",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502026,"AntPool",2042,996373,1003326,3992445,0.00019505,"12.5 + 0.77874206 BTC","2018/01/01 09:56","","12.5 ",0.77874206,"2018","01","01","09","56",2.22785e+12,520,1.59463e+19,13154.9543674293,356.39094323,4688306.59515575,13145.2848917749,527.28738423,6931342.88554212,0,0,0,0
502028,"BitFury",1998,977570,1060272,3992982,0.00119263,"12.5 + 4.76216254 BTC","2018/01/01 10:16","","12.5 ",4.76216254,"2018","01","01","10","16",2.22785e+12,520,1.59463e+19,13166.4881354167,145.76069742,1919156.49319049,13187.9155815998,379.10508414,4999605.8461936,0,0,0,0
502029,"BTC.TOP",2499,977964,1059026,3992918,0.00124792,"12.5 + 4.98283190 BTC","2018/01/01 10:43","","12.5 ",4.9828319,"2018","01","01","10","43",2.22785e+12,520,1.59463e+19,13166.4881354167,145.76069742,1919156.49319049,13187.9155815998,379.10508414,4999605.8461936,0,0,0,0
502030,"BitFury",917,978257,1058170,3992941,0.00062363,"12.5 + 2.49012073 BTC","2018/01/01 10:49","","12.5 ",2.49012073,"2018","01","01","10","49",2.22785e+12,520,1.59463e+19,13166.4881354167,145.76069742,1919156.49319049,13187.9155815998,379.10508414,4999605.8461936,0,0,0,0
502031,"BitFury",1283,989728,1023475,3992659,0.00032947,"12.5 + 1.31544236 BTC","2018/01/01 10:52","","12.5 ",1.31544236,"2018","01","01","10","52",2.22785e+12,520,1.59463e+19,13166.4881354167,145.76069742,1919156.49319049,13187.9155815998,379.10508414,4999605.8461936,0,0,0,0
502032,"AntPool",861,994585,1009095,3992850,0.00023583,"12.5 + 0.94164019 BTC","2018/01/01 10:54","","12.5 ",0.94164019,"2018","01","01","10","54",2.22785e+12,520,1.59463e+19,13166.4881354167,145.76069742,1919156.49319049,13187.9155815998,379.10508414,4999605.8461936,0,0,0,0
502033,"F2Pool",1020,988712,1032069,3998205,0.00048661,"12.5 + 1.94557021 BTC","2018/01/01 10:59","","12.5 ",1.94557021,"2018","01","01","10","59",2.22785e+12,520,1.59463e+19,13166.4881354167,145.76069742,1919156.49319049,13187.9155815998,379.10508414,4999605.8461936,0,0,0,0
502034,"AntPool",2592,980865,1050149,3992744,0.00160847,"12.5 + 6.42220448 BTC","2018/01/01 11:36","","12.5 ",6.42220448,"2018","01","01","11","36",2.22785e+12,520,1.59463e+19,13199.4910547667,121.08038754,1598199.49224192,13212.0470432392,536.68025926,7090644.83252092,0,0,0,0
502035,"BTC.TOP",1542,989929,1023341,3993128,0.00110958,"12.5 + 4.43069812 BTC","2018/01/01 11:47","","12.5 ",4.43069812,"2018","01","01","11","47",2.22785e+12,520,1.59463e+19,13199.4910547667,121.08038754,1598199.49224192,13212.0470432392,536.68025926,7090644.83252092,0,0,0,0
502036,"ViaBTC",1940,965488,1096413,3992877,0.00064068,"12.5 + 2.55815537 BTC","2018/01/01 11:51","","12.5 ",2.55815537,"2018","01","01","11","51",2.22785e+12,520,1.59463e+19,13199.4910547667,121.08038754,1598199.49224192,13212.0470432392,536.68025926,7090644.83252092,0,0,0,0
502037,"AntPool",1090,986752,1032204,3992460,0.00066101,"12.5 + 2.63904319 BTC","2018/01/01 11:58","","12.5 ",2.63904319,"2018","01","01","11","58",2.22785e+12,520,1.59463e+19,13199.4910547667,121.08038754,1598199.49224192,13212.0470432392,536.68025926,7090644.83252092,0,0,0,0
502038,"BitClub",2339,981278,1049210,3993044,0.00164296,"12.5 + 6.56039930 BTC","2018/01/01 12:29","NYA","12.5 ",6.5603993,"2018","01","01","12","29",2.22785e+12,520,1.59463e+19,13208.0178662873,226.09664935,2986288.5841225,13250.2977360544,415.52669624,5505852.44245904,0,0,0,0
