"ymd","year","month","day","numBlocks","difficulty","rewardPerBlock","transactionFees","difficultyChange","bitx","bitfinex","coinebase","kraken","AvgPrice","Work","revenuePerDay","revenuePerGH"
"2009-01-27",2009,1,27,40,1,50,0,0,NA,NA,NA,NA,NA,171801313320,NA,NA
"2009-01-28",2009,1,28,112,1,50,0,0,NA,NA,NA,NA,NA,481043677296,NA,NA
"2009-01-29",2009,1,29,121,1,50,0,0,NA,NA,NA,NA,NA,519698972793,NA,NA
"2009-01-30",2009,1,30,117,1,50,0,0,NA,NA,NA,NA,NA,502518841461,NA,NA
"2009-01-31",2009,1,31,138,1,50,0,0,NA,NA,NA,NA,NA,592714530954,NA,NA
"2009-02-01",2009,2,1,113,1,50,0,0,NA,NA,NA,NA,NA,485338710129,NA,NA
"2009-02-02",2009,2,2,128,1,50,0,0,NA,NA,NA,NA,NA,549764202624,NA,NA
"2009-02-03",2009,2,3,139,1,50,2.01,0,NA,NA,NA,NA,NA,597009563787,NA,NA
"2009-02-04",2009,2,4,119,1,50,0,0,NA,NA,NA,NA,NA,511108907127,NA,NA
"2009-02-05",2009,2,5,126,1,50,0,0,NA,NA,NA,NA,NA,541174136958,NA,NA
"2009-02-06",2009,2,6,122,1,50,0,0,NA,NA,NA,NA,NA,523994005626,NA,NA
"2009-02-07",2009,2,7,129,1,50,0,0,NA,NA,NA,NA,NA,554059235457,NA,NA
"2009-02-08",2009,2,8,132,1,50,0,0,NA,NA,NA,NA,NA,566944333956,NA,NA
"2009-02-09",2009,2,9,134,1,50,0,0,NA,NA,NA,NA,NA,575534399622,NA,NA
"2009-02-10",2009,2,10,120,1,50,0,0,NA,NA,NA,NA,NA,515403939960,NA,NA
"2009-02-11",2009,2,11,133,1,50,0,0,NA,NA,NA,NA,NA,571239366789,NA,NA
"2009-02-12",2009,2,12,119,1,50,0,0,NA,NA,NA,NA,NA,511108907127,NA,NA
"2009-02-13",2009,2,13,124,1,50,0,0,NA,NA,NA,NA,NA,532584071292,NA,NA
"2009-02-14",2009,2,14,136,1,50,0,0,NA,NA,NA,NA,NA,584124465288,NA,NA
"2009-02-15",2009,2,15,128,1,50,0,0,NA,NA,NA,NA,NA,549764202624,NA,NA
"2009-02-16",2009,2,16,122,1,50,0,0,NA,NA,NA,NA,NA,523994005626,NA,NA
"2009-02-17",2009,2,17,117,1,50,0,0,NA,NA,NA,NA,NA,502518841461,NA,NA
"2009-02-18",2009,2,18,118,1,50,0,0,NA,NA,NA,NA,NA,506813874294,NA,NA
"2009-02-19",2009,2,19,124,1,50,0,0,NA,NA,NA,NA,NA,532584071292,NA,NA
"2009-02-20",2009,2,20,122,1,50,0,0,NA,NA,NA,NA,NA,523994005626,NA,NA
"2009-02-21",2009,2,21,114,1,50,0,0,NA,NA,NA,NA,NA,489633742962,NA,NA
"2009-02-22",2009,2,22,121,1,50,0,0,NA,NA,NA,NA,NA,519698972793,NA,NA
"2009-02-23",2009,2,23,108,1,50,0,0,NA,NA,NA,NA,NA,463863545964,NA,NA
"2009-02-24",2009,2,24,106,1,50,0,0,NA,NA,NA,NA,NA,455273480298,NA,NA
"2009-02-25",2009,2,25,105,1,50,0,0,NA,NA,NA,NA,NA,450978447465,NA,NA
"2009-02-26",2009,2,26,107,1,50,0,0,NA,NA,NA,NA,NA,459568513131,NA,NA
"2009-02-27",2009,2,27,115,1,50,0,0,NA,NA,NA,NA,NA,493928775795,NA,NA
"2009-02-28",2009,2,28,99,1,50,0,0,NA,NA,NA,NA,NA,425208250467,NA,NA
"2009-03-01",2009,3,1,105,1,50,0,0,NA,NA,NA,NA,NA,450978447465,NA,NA
"2009-03-02",2009,3,2,108,1,50,0,0,NA,NA,NA,NA,NA,463863545964,NA,NA
